,actual_label,prediction_label
1329,sport,sport
323,politics,politics
436,business,business
381,politics,politics
404,tech,tech
1975,tech,tech
1649,business,business
192,politics,politics
2030,business,business
1721,politics,politics
551,entertainment,entertainment
2037,business,business
803,tech,tech
1584,politics,business
1966,sport,sport
731,sport,sport
1109,business,business
2193,business,business
1601,sport,sport
1925,business,business
117,politics,politics
1052,tech,tech
301,politics,politics
1870,sport,sport
1350,entertainment,entertainment
1831,sport,sport
1686,entertainment,sport
1292,business,business
555,entertainment,entertainment
1193,tech,tech
1824,politics,politics
1165,sport,sport
948,business,business
917,business,business
1582,sport,sport
1702,business,politics
862,politics,politics
849,sport,sport
194,tech,tech
694,sport,sport
1574,tech,tech
961,entertainment,entertainment
152,politics,politics
773,sport,sport
1298,entertainment,entertainment
1895,business,business
1099,sport,sport
1954,business,business
2123,entertainment,entertainment
922,business,business
2205,entertainment,sport
31,tech,tech
692,politics,politics
444,business,business
722,sport,sport
1155,politics,politics
542,politics,politics
1348,politics,politics
989,sport,sport
531,entertainment,entertainment
27,tech,tech
1330,business,business
225,entertainment,entertainment
1049,tech,tech
1246,business,business
1772,sport,sport
1237,business,business
486,politics,politics
223,politics,politics
1215,sport,sport
791,politics,politics
1672,sport,sport
1393,tech,tech
177,sport,sport
1303,tech,tech
2180,sport,sport
2141,tech,tech
1452,tech,tech
1802,sport,sport
34,business,business
229,sport,sport
2066,tech,tech
1158,business,business
969,business,business
428,business,business
776,politics,politics
1587,sport,sport
1450,politics,politics
2148,business,business
886,politics,politics
962,entertainment,tech
267,business,business
930,tech,tech
786,business,business
1529,politics,politics
998,sport,sport
414,politics,politics
627,entertainment,entertainment
231,politics,politics
1010,tech,tech
586,entertainment,entertainment
295,business,business
765,business,business
1100,business,business
907,politics,politics
1306,entertainment,entertainment
554,politics,politics
336,entertainment,entertainment
937,tech,tech
36,tech,tech
1526,politics,politics
107,entertainment,entertainment
319,business,business
1458,politics,politics
2223,politics,politics
100,entertainment,entertainment
179,business,business
2081,business,business
1860,sport,sport
1740,entertainment,entertainment
163,entertainment,entertainment
1137,sport,sport
1616,sport,sport
768,business,business
459,sport,sport
205,business,business
2185,business,business
822,entertainment,entertainment
774,politics,politics
1883,sport,sport
790,tech,tech
1729,business,business
2127,sport,sport
953,entertainment,entertainment
603,entertainment,entertainment
1554,tech,tech
1355,sport,sport
1453,tech,tech
1759,business,business
1809,business,politics
1305,sport,sport
1471,business,business
482,tech,sport
1770,business,business
2168,business,business
1154,politics,politics
2038,politics,politics
1245,entertainment,entertainment
900,sport,sport
1170,sport,sport
286,business,business
1002,entertainment,entertainment
1015,sport,sport
242,business,business
851,business,business
1866,tech,tech
1144,business,business
1093,entertainment,entertainment
2214,business,business
159,business,tech
215,sport,sport
1231,tech,tech
1919,politics,politics
1657,entertainment,entertainment
426,sport,sport
2115,tech,tech
494,sport,sport
1207,entertainment,business
1859,tech,tech
893,entertainment,sport
615,tech,tech
2091,sport,sport
718,tech,tech
1065,sport,sport
1631,entertainment,entertainment
1799,politics,politics
996,sport,sport
1371,politics,politics
513,business,business
1691,sport,sport
367,sport,sport
274,sport,sport
21,tech,tech
1413,sport,sport
283,politics,politics
207,politics,politics
874,entertainment,entertainment
1898,politics,politics
1256,business,business
1592,tech,politics
1538,politics,politics
1218,politics,politics
1287,business,business
113,entertainment,entertainment
1362,tech,tech
800,tech,tech
1427,tech,tech
680,business,business
1107,politics,politics
840,tech,tech
1728,sport,sport
929,tech,tech
1917,politics,politics
844,tech,tech
777,politics,business
1909,sport,sport
1985,politics,politics
656,sport,sport
1021,tech,tech
1847,politics,politics
