,actual_label,prediction_label
0,3,3
1,4,0
2,3,3
3,2,2
4,3,3
5,3,3
6,3,3
7,0,0
8,1,1
9,4,4
10,1,1
11,2,2
12,2,2
13,2,2
14,2,2
15,0,0
16,4,4
17,3,3
18,2,2
19,0,0
20,3,3
21,3,3
22,4,4
23,0,0
24,2,2
25,2,2
26,2,2
27,3,3
28,3,3
29,2,2
30,0,0
31,2,2
32,2,2
33,0,0
34,0,0
35,2,2
36,1,1
37,1,1
38,2,2
39,4,4
40,0,0
41,2,2
42,3,3
43,2,2
44,0,0
45,4,4
46,0,0
47,2,2
48,2,2
49,2,2
50,0,0
51,1,1
52,4,0
53,4,4
54,2,2
55,0,0
56,0,0
57,2,2
58,0,0
59,1,1
60,4,4
61,3,3
62,2,2
63,0,0
64,3,3
65,1,1
66,0,0
67,1,1
68,4,4
69,0,0
70,1,1
71,0,0
72,1,1
73,0,0
74,1,1
75,4,1
76,4,4
77,1,1
78,4,4
79,2,2
80,0,0
81,2,2
82,0,0
83,0,0
84,3,3
85,2,2
86,1,1
87,2,2
88,3,3
89,3,3
90,4,4
91,4,4
92,3,3
93,4,4
94,0,0
95,2,2
96,0,0
97,0,0
98,0,0
99,4,0
100,4,4
101,2,2
102,0,1
103,2,2
104,0,0
105,0,0
106,3,3
107,1,1
108,3,3
109,0,0
110,4,4
111,1,1
112,4,4
113,0,0
114,4,4
115,3,3
116,4,4
117,2,2
118,2,2
119,3,3
120,3,3
121,0,0
122,0,0
123,4,4
124,1,1
125,4,4
126,3,3
127,4,4
128,3,3
129,3,3
130,1,1
131,0,0
132,4,4
133,0,0
134,1,1
135,3,3
136,0,0
137,3,3
138,1,1
139,1,1
140,0,0
141,3,3
142,4,4
143,0,0
144,1,1
145,0,0
146,2,2
147,2,2
148,2,2
149,2,2
150,4,4
151,0,0
152,0,0
153,1,1
154,1,1
155,4,4
156,1,1
157,1,1
158,3,3
159,2,2
160,2,2
161,4,4
162,3,3
163,2,2
164,1,1
165,4,4
166,2,2
167,0,0
168,3,3
169,3,3
170,3,3
171,1,1
172,4,4
173,4,4
174,0,0
175,3,3
176,1,1
177,2,2
178,3,3
179,2,2
180,2,2
181,2,2
182,1,1
183,0,0
184,3,3
185,3,3
186,4,4
187,3,3
188,4,0
189,2,0
190,0,0
191,2,2
192,1,1
193,3,3
194,2,2
195,3,3
196,3,3
197,1,1
198,0,0
199,4,4
200,0,0
201,4,4
202,2,2
203,0,0
204,0,0
205,3,3
206,2,2
207,2,2
208,1,1
209,0,0
210,3,3
211,1,1
212,4,4
213,4,4
214,0,0
215,3,3
216,2,2
217,3,3
218,1,1
219,0,0
220,2,2
221,1,1
222,1,1
223,0,0
224,4,0
225,3,3
226,2,2
227,4,4
228,1,1
229,1,1
230,4,1
231,3,3
232,0,0
233,0,0
234,4,4
235,0,0
236,3,3
237,4,4
238,1,1
239,4,4
240,1,1
241,0,0
242,0,0
243,1,1
244,0,2
245,3,3
246,2,2
247,2,0
248,2,2
249,4,4
250,1,1
251,2,2
252,1,1
253,3,3
254,2,2
255,3,3
256,0,0
257,1,1
258,0,0
259,0,0
260,3,3
261,0,0
262,1,1
263,2,2
264,1,1
265,2,4
266,1,1
267,0,2
268,0,2
269,1,1
270,3,3
271,2,2
272,0,0
273,1,1
274,3,3
275,2,3
276,0,0
277,3,3
278,3,3
279,4,4
280,0,0
281,2,2
282,0,0
283,3,3
284,3,3
285,3,3
286,3,3
287,4,4
288,1,1
289,4,4
290,2,2
291,0,0
292,0,4
293,1,1
294,0,0
295,0,0
296,3,3
297,3,3
298,0,0
299,1,1
300,3,3
301,3,3
302,3,3
303,4,4
304,3,3
305,2,2
306,2,2
307,0,0
308,0,0
309,4,4
310,1,1
311,4,4
312,2,2
313,0,0
314,3,3
315,4,4
316,0,0
317,3,3
318,0,0
319,3,3
320,0,0
321,2,2
322,1,1
323,2,2
324,3,3
325,3,3
326,3,3
327,0,0
328,0,2
329,1,1
330,1,1
331,4,4
332,1,1
333,0,0
334,1,1
335,0,0
336,3,3
337,1,1
338,4,4
339,3,3
340,1,1
341,1,1
342,3,3
343,3,3
344,2,2
345,3,3
346,4,4
347,4,4
348,0,0
349,1,1
350,3,3
351,4,4
352,3,3
353,0,0
354,3,3
355,0,0
356,4,4
357,4,4
358,0,0
359,2,2
360,4,4
361,4,4
362,3,3
363,3,3
364,3,3
365,1,1
366,2,0
367,3,3
368,4,4
369,3,3
370,1,1
371,2,2
372,2,2
373,1,1
374,0,0
375,3,3
376,0,0
377,3,3
378,3,3
379,3,3
380,0,0
381,0,0
382,2,2
383,1,1
384,0,4
385,2,2
386,3,3
387,3,3
388,0,0
389,4,4
390,2,2
391,2,2
392,1,1
393,2,2
394,3,3
395,0,0
396,0,0
397,4,4
398,0,0
399,0,3
400,4,4
401,4,4
402,0,0
403,0,0
404,3,3
405,3,3
406,0,0
407,0,0
408,4,4
409,2,2
410,1,1
411,4,4
412,0,0
413,3,3
414,3,3
415,1,1
416,3,3
417,0,0
418,0,0
419,1,1
420,3,3
421,0,0
422,4,4
423,1,1
424,0,2
425,3,3
426,1,1
427,2,2
428,1,1
429,4,4
430,0,0
431,3,3
432,3,3
433,2,2
434,2,2
435,0,0
436,2,2
437,3,3
438,4,4
439,3,3
440,1,1
441,4,4
442,0,0
443,3,3
444,1,1
